Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 524288, 1, 8, 512, 3.901, 1.23293, N/A, 7.30713, 7.66158, 547.129, 24.5712, 16, 4, 1, 1, 8, 2, 28.7155, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 524288, 1, 8, 8, 4.94488, 1.23563, N/A, 0.61456, 0.545047, 1888.31, 40.8181, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 52.956, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.378098, 0.272688, N/A, 0.0432136, 0.038275, 53.0746, 0.802647, 2, 2, 4, 8, 1, 1, 66.6514, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.049531, 0.0417272, 61.3354, 1.13743, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.049531, 0.0417272, 61.3354, 1.13743, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 2048, 1, 8, 8, 0.232402, 0.194761, N/A, 0.0159671, 0.0178214, 13.7308, 0.192444, 2, 2, 1, 2, 1, 1, 50.2341, 4, 4, 2, 1, 2, 2, 45.0799, 
22, 2048, 1, 8, 8, 0.202629, 0.167942, N/A, 0.00836166, 0.0134818, 7.90085, 0.129383, 2, 2, 1, 1, 1, 2, 50.6896, 4, 2, 2, 1, 4, 1, 54.2122, 
22, 4096, 1, 8, 8, 0.199089, 0.169666, N/A, 0.011116, 0.0141711, 9.89905, 0.120573, 2, 2, 2, 8, 1, 1, 57.3763, 4, 2, 2, 1, 4, 1, 54.2122, 
22, 4096, 1, 8, 8, 0.232402, 0.201759, N/A, 0.0192944, 0.0186446, 16.4441, 0.190836, 2, 2, 2, 8, 1, 1, 56.5467, 4, 4, 2, 1, 2, 2, 45.0799, 
22, 4096, 1, 8, 8, 0.0959129, 0.0814229, N/A, 0.00231295, 0.00269792, 2.83894, 0.00678002, 2, 2, 2, 8, 1, 1, 62.5509, 2, 2, 2, 1, 4, 1, 67.1946, 
22, 4096, 1, 8, 8, 0.188015, 0.154691, N/A, 0.00977627, 0.0120247, 9.3652, 0.096513, 2, 2, 2, 8, 1, 1, 57.2425, 4, 2, 2, 1, 4, 1, 54.3035, 
22, 2048, 1, 8, 8, 0.188771, 0.155576, N/A, 0.00729774, 0.0114188, 7.50123, 0.103292, 2, 2, 1, 1, 1, 2, 50.8311, 4, 2, 2, 1, 4, 1, 54.3035, 
22, 2048, 1, 8, 8, 0.188771, 0.155576, N/A, 0.00729774, 0.0114188, 7.50123, 0.103292, 2, 2, 1, 1, 1, 2, 50.8311, 4, 2, 2, 1, 4, 1, 54.3035, 
22, 16384, 1, 8, 8, 0.317552, 0.329921, N/A, 0.0156224, 0.0159434, 18.4231, 0.242368, 2, 2, 1, 16, 1, 1, 69.4756, 4, 2, 2, 1, 4, 1, 54.3035, 
22, 16384, 1, 8, 8, 0.464101, 0.423075, N/A, 0.0236281, 0.0240512, 27.3965, 0.542746, 2, 2, 0.5, 8, 1, 1, 72.5278, 4, 4, 2, 1, 4, 1, 45.5667, 
22, 16384, 1, 8, 8, 0.317552, 0.329921, N/A, 0.0156224, 0.0159434, 18.4231, 0.242368, 2, 2, 1, 16, 1, 1, 69.4756, 4, 2, 2, 1, 4, 1, 54.3035, 
