Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 16, 512, 4.5762, 10.0942, N/A, 1.86033, 1.89074, 65.5714, 7.56952, 4, 2, 1, 1, 16, 1, 19.1033, 2, 2, 0.5, 1, 1, 1, 78.6305, 
90, 131072, 1, 16, 512, 4.3553, 10.0942, N/A, 26.075, 26.9139, 108.593, 50.2405, 4, 2, 1, 1, 1, 1, 2.87824, 2, 2, 0.5, 1, 1, 1, 78.6305, 
90, 65536, 1, 16, 512, 4.22309, 9.97471, N/A, 26.0398, 26.4244, 79.0914, 49.5143, 4, 2, 1, 1, 1, 1, 1.46163, 2, 2, 0.5, 1, 1, 1, 72.8203, 
90, 32768, 1, 16, 512, 4.10954, 9.9181, N/A, 26.0208, 26.1772, 64.2819, 49.1681, 4, 2, 1, 1, 1, 1, 0.736647, 2, 2, 0.5, 1, 1, 1, 63.0634, 
90, 32768, 1, 16, 512, 4.10954, 9.9181, N/A, 26.0208, 26.1772, 64.2819, 49.1681, 4, 2, 1, 1, 1, 1, 0.736647, 2, 2, 0.5, 1, 1, 1, 63.0634, 
90, 32768, 1, 16, 512, 4.10954, 9.9181, N/A, 26.0208, 26.1772, 64.2819, 49.1681, 4, 2, 1, 1, 1, 1, 0.736647, 2, 2, 0.5, 1, 1, 1, 63.0634, 
90, 16777216, 1, 16, 512, 16.4359, 39.3417, N/A, 64.0388, 88.3202, 7489.37, 516.966, 2, 8, 1, 1, 2, 1, 44.0985, 8, 8, 8, 1, 16, 1, 84.2794, 
90, 8388608, 1, 16, 512, 10.8908, 12.8301, N/A, 52.7018, 104.481, 3755.99, 231.497, 4, 4, 1, 2, 1, 1, 44.9302, 4, 8, 4, 1, 8, 1, 84.4958, 
90, 4194304, 1, 16, 512, 8.42741, 12.8236, N/A, 28.0567, 54.0121, 1904.83, 116.533, 4, 2, 1, 1, 1, 1, 47.3685, 4, 4, 4, 1, 8, 1, 85.0375, 
90, 2097152, 1, 16, 512, 6.27628, 11.6064, N/A, 27.0303, 39.9757, 980.256, 79.3466, 4, 2, 1, 1, 1, 1, 31.6016, 2, 4, 2, 1, 4, 1, 85.2713, 
90, 1048576, 1, 16, 512, 5.38397, 10.9615, N/A, 26.5464, 33.2711, 517.196, 62.6292, 4, 2, 1, 1, 1, 1, 18.9729, 2, 2, 1, 1, 2, 1, 86.3552, 
90, 524288, 1, 16, 512, 4.88971, 10.5483, N/A, 26.2862, 29.6158, 283.859, 56.4459, 4, 2, 1, 1, 1, 1, 10.5459, 2, 2, 1, 1, 2, 1, 84.3552, 
90, 262144, 1, 16, 512, 4.58797, 10.2732, N/A, 26.1433, 27.8885, 167.462, 51.7355, 4, 2, 1, 1, 1, 1, 5.58533, 2, 2, 0.5, 1, 1, 1, 81.925, 
90, 32768, 1, 16, 512, 4.10954, 9.9181, N/A, 26.0208, 26.1772, 64.2819, 49.1681, 4, 2, 1, 1, 1, 1, 0.736647, 2, 2, 0.5, 1, 1, 1, 63.0634, 
90, 32768, 1, 16, 512, 4.10954, 9.9181, N/A, 26.0208, 26.1772, 64.2819, 49.1681, 4, 2, 1, 1, 1, 1, 0.736647, 2, 2, 0.5, 1, 1, 1, 63.0634, 
90, 65536, 1, 16, 512, 4.22309, 9.97471, N/A, 26.0398, 26.4244, 79.0914, 49.5143, 4, 2, 1, 1, 1, 1, 1.46163, 2, 2, 0.5, 1, 1, 1, 72.8203, 
90, 131072, 1, 16, 512, 4.3553, 10.0942, N/A, 26.075, 26.9139, 108.593, 50.2405, 4, 2, 1, 1, 1, 1, 2.87824, 2, 2, 0.5, 1, 1, 1, 78.6305, 
90, 16384, 1, 8, 512, 2.2482, 3.24765, N/A, 6.65025, 6.72843, 20.6675, 13.275, 4, 2, 1, 1, 1, 1, 1.36524, 2, 2, 0.5, 1, 1, 1, 62.8544, 
90, 67108864, 1, 8, 512, 21.646, 11.6122, N/A, 90.6938, 114.765, 29797.6, 1419.04, 8, 32, 4, 8, 1, 1, 58.0472, 16, 32, 16, 1, 4, 1, 80.0405, 
90, 67108864, 1, 2, 512, 19.8111, 4.46789, N/A, 21.6205, 24.2101, 30132, 1277.2, 16, 32, 16, 8, 1, 1, 73.6295, 16, 32, 128, 1, 8, 4, 78.9838, 
90, 16777216, 1, 16, 512, 16.4359, 39.3417, N/A, 64.0388, 88.3202, 7489.37, 516.966, 2, 8, 1, 1, 2, 1, 44.0985, 8, 8, 8, 1, 16, 1, 84.2794, 
90, 16777216, 1, 2, 512, 11.6005, 11.6122, N/A, 10.2607, 11.0287, 7394.32, 343.88, 4, 16, 8, 8, 1, 1, 69.3352, 8, 8, 64, 1, 32, 2, 82.848, 
90, 16777216, 1, 2, 512, 11.6005, 11.6122, N/A, 10.2607, 11.0287, 7394.32, 343.88, 4, 16, 8, 8, 1, 1, 69.3352, 8, 8, 64, 1, 32, 2, 82.848, 
