Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 65536, 1, 16, 512, 4.22309, 9.97471, N/A, 26.0398, 26.4244, 79.0914, 49.5143, 4, 2, 1, 1, 1, 1, 1.46163, 2, 2, 0.5, 1, 1, 1, 72.8203, 
90, 65536, 1, 16, 512, 9.10848, 7.57967, N/A, 136.564, 138.072, 169.325, 320.841, 8, 2, 1, 1, 1, 1, 1.14376, 2, 2, 0.5, 1, 1, 1, 72.1073, 
22, 65536, 1, 16, 512, 3.27904, 1.17086, N/A, 13.8636, 14.1314, 101.597, 19.3594, 16, 2, 1, 1, 1, 1, 1.13105, 2, 2, 0.5, 1, 1, 1, 72.7905, 
22, 65536, 1, 16, 512, 3.27904, 1.17086, N/A, 13.8636, 14.1314, 101.597, 19.3594, 16, 2, 1, 1, 1, 1, 1.13105, 2, 2, 0.5, 1, 1, 1, 72.7905, 
22, 65536, 1, 16, 512, 3.27904, 1.17086, N/A, 13.8636, 14.1314, 101.597, 19.3594, 16, 2, 1, 1, 1, 1, 1.13105, 2, 2, 0.5, 1, 1, 1, 72.7905, 
22, 65536, 1, 16, 512, 3.27904, 1.17086, N/A, 13.8661, 14.1635, 102.087, 19.4826, 16, 2, 1, 1, 1, 1, 1.13105, 8, 2, 0.5, 1, 1, 1, 54.8075, 
22, 65536, 1, 16, 512, 3.27904, 1.17086, N/A, 13.8661, 14.1635, 102.087, 19.4826, 16, 2, 1, 1, 1, 1, 1.13105, 8, 2, 0.5, 1, 1, 1, 54.8075, 
22, 65536, 1, 16, 512, 2.72718, 1.17086, N/A, 16.2305, 16.5279, 144.93, 19.4826, 16, 2, 1, 1, 1, 1, 1.13105, 8, 2, 0.5, 1, 1, 1, 54.8075, 
22, 65536, 1, 16, 512, 2.43086, 0.953721, N/A, 12.8761, 13.1242, 121.238, 15.5115, 16, 2, 1, 1, 1, 1, 1.26572, 8, 4, 0.5, 1, 1, 1, 42.6284, 
22, 65536, 1, 16, 512, 2.43086, 0.953721, N/A, 12.8761, 13.1242, 121.238, 15.5115, 16, 2, 1, 1, 1, 1, 1.26572, 8, 4, 0.5, 1, 1, 1, 42.6284, 
22, 65536, 1, 16, 512, 1.20442, 1.17609, N/A, 0.0222887, 0.0584874, 38.1929, 0.418987, 2, 2, 2, 4, 1, 1, 60.9905, 8, 4, 0.5, 1, 1, 1, 45.7515, 
22, 65536, 1, 16, 512, 2.55538, 0.953721, N/A, 0.841038, 0.863131, 43.1752, 2.12032, 16, 2, 1, 1, 16, 1, 9.25912, 8, 4, 0.5, 1, 1, 1, 42.6284, 
22, 65536, 1, 16, 512, 2.55538, 0.953721, N/A, 0.841038, 0.863131, 43.1752, 2.12032, 16, 2, 1, 1, 16, 1, 9.25912, 8, 4, 0.5, 1, 1, 1, 42.6284, 
22, 65536, 1, 16, 512, 1.20442, 1.17609, N/A, 0.0222887, 0.0584874, 38.1929, 0.418987, 2, 2, 2, 4, 1, 1, 60.9905, 8, 4, 0.5, 1, 1, 1, 45.7515, 
